Ld,x,y
3.9,22.63571607,103.776435
3.9,22.76207324,98.88217523
3.9,23.01478756,94.25981873
3.9,27.31093102,89.00302115
3.9,33.24971758,82.11480363
3.9,40.0308852,72.77945619
3.9,46.51721945,65.98187311
3.9,53.42474424,60.18126888
3.9,59.53200701,53.65558912
3.9,64.92324587,50.57401813
3.9,69.80905609,45.58912387
3.9,74.10519955,44.13897281
3.9,77.47472384,41.6918429
3.9,80.29670043,40.51359517
3.9,82.27629595,40.69486405
3.2,26.80550238,109.3957704
3.2,26.67914522,106.7673716
3.2,26.80550238,103.141994
3.2,26.38431184,100.5135952
3.2,26.84762143,95.43806647
3.2,27.52152629,88.73111782
3.2,33.46031284,83.02114804
3.2,39.98876615,75.49848943
3.2,46.68569567,69.42598187
3.2,53.42474424,61.08761329
3.2,59.48988796,56.4652568
3.2,64.92324587,51.8429003
3.2,69.72481798,49.48640483
3.2,74.10519955,46.3141994
3.2,77.47472384,45.31722054
3.2,80.33881948,45.2265861
3.2,82.40265311,44.41087613
2.6,31.7755507,95.61933535
2.6,31.85978881,92.26586103
2.6,31.64919354,90.45317221
2.6,31.73343165,85.28700906
2.6,31.73343165,80.21148036
2.6,33.46031284,77.76435045
2.6,40.0308852,74.95468278
2.6,46.76993378,65.70996979
2.6,53.25626803,60
2.6,59.61624512,55.01510574
2.6,64.92324587,51.75226586
2.6,69.9775323,49.93957704
2.6,74.0630805,47.76435045
2.6,77.51684289,46.67673716
2.6,80.33881948,46.94864048
2.6,82.40265311,46.3141994
2.2,37.37738483,76.85800604
2.2,37.25102767,74.86404834
2.2,37.25102767,72.68882175
2.2,37.0404324,67.52265861
2.2,37.75645631,67.88519637
2.2,37.84069442,64.98489426
2.2,39.82028994,60.09063444
2.2,46.55933851,61.17824773
2.2,53.42474424,52.83987915
2.2,59.61624512,52.83987915
2.2,64.92324587,51.02719033
2.2,69.76693703,49.8489426
2.2,73.85248523,49.66767372
2.2,77.34836668,49.30513595
2.2,80.04398611,47.31117825
2.2,82.48689121,47.94561934
